date,district,lat,lon,disease,cases,lag_1,lag_2,lag_3,temperature,humidity,rainfall,population_density,sanitation_score
2015-02-18,Hyderabad,25.396,68.3578,Measles,12,12,0,9,30.5,69.8,20.7,2527,79
2015-05-10,Dera Ghazi Khan,30.0561,70.6347,Malaria,2,6,6,4,38.1,76.5,39.8,1782,70
2015-03-26,Rawalpindi,33.6167,73.0667,Eye Infections,4,2,5,4,37.8,76.1,36.0,1514,35
2015-03-17,Hyderabad,25.396,68.3578,COVID19,23,20,12,20,36.4,74.8,36.0,2527,79
2015-05-13,Jhelum,32.9333,73.7333,Cholera,3,0,3,3,40.8,75.1,33.7,3536,73
2015-02-21,Peshawar,34.0151,71.5805,Rubella,7,5,4,0,30.1,73.7,23.4,1934,48
2015-03-08,Sargodha,32.0836,72.6711,Eye Infections,4,1,0,3,34.1,80.8,32.9,2649,30
2015-02-24,Jhelum,32.9333,73.7333,Pneumonia,1,10,5,4,30.1,71.7,28.1,3536,73
2015-04-19,Faisalabad,31.4181,73.0798,COVID19,22,21,20,19,39.0,82.1,39.7,1101,39
2015-05-16,Sheikhupura,31.7131,73.9783,Eye Infections,4,5,5,8,39.5,78.2,33.5,2990,42
2015-02-03,Rawalpindi,33.6167,73.0667,Rubella,7,0,2,3,27.3,68.3,20.8,1514,35
2015-04-25,Rawalpindi,33.6167,73.0667,Allergies,8,4,0,5,40.5,79.0,38.3,1514,35
2015-01-19,Bahawalpur,29.3956,71.6833,Mumps,8,9,8,2,23.5,59.4,5.5,1135,66
2015-02-12,Karachi South,24.809,66.991,Measles,4,2,5,0,28.0,75.3,20.7,3410,90
2015-04-25,Turbat,26.0043,63.0488,Malaria,5,4,0,1,40.9,83.4,37.6,2245,70
2015-01-31,Rawalpindi,33.6167,73.0667,Tuberculosis,0,4,6,6,26.1,68.8,15.0,1514,35
2015-03-08,Islamabad,33.6844,73.0479,Polio,1,7,5,8,36.2,76.4,33.5,2816,30
2015-02-06,Bahawalpur,29.3956,71.6833,Polio,4,7,4,6,27.0,65.4,14.0,1135,66
2015-03-17,Quetta,30.1798,66.975,Polio,7,5,9,4,36.8,77.3,31.9,2413,46
2015-01-04,Islamabad,33.6844,73.0479,Pneumonia,2,3,0,0,18.6,55.4,0.0,2816,30
2015-02-09,Dera Ghazi Khan,30.0561,70.6347,Cholera,4,9,6,6,27.5,70.1,20.2,1782,70
2015-05-01,Dera Ghazi Khan,30.0561,70.6347,Allergies,7,4,7,7,38.9,77.7,39.1,1782,70
2015-02-18,Bahawalpur,29.3956,71.6833,Allergies,0,3,0,4,29.4,72.9,23.5,1135,66
2015-01-28,Hyderabad,25.396,68.3578,Cholera,0,0,1,5,25.0,65.6,10.4,2527,79
2015-05-28,Rawalpindi,33.6167,73.0667,Eye Infections,6,7,7,3,40.6,73.5,25.9,1514,35
2015-04-22,Gujranwala,32.1877,74.1945,Skin Infections,4,9,5,4,40.8,80.5,41.7,3361,37
2015-02-09,Rawalpindi,33.6167,73.0667,Hepatitis A,8,6,0,3,28.6,70.5,22.5,1514,35
2015-02-18,Sialkot,32.4945,74.5229,Allergies,6,3,11,0,29.2,72.8,21.8,2870,73
2015-04-10,Hyderabad,25.396,68.3578,Asthma,9,2,5,4,38.9,75.8,41.3,2527,79
2015-03-17,Faisalabad,31.4181,73.0798,Hepatitis A,6,1,5,2,35.6,77.9,42.8,1101,39
2015-03-05,Sheikhupura,31.7131,73.9783,Hepatitis E,0,10,3,3,34.5,77.1,32.5,2990,42
2015-01-31,Jhelum,32.9333,73.7333,Malaria,3,1,3,5,25.5,64.9,12.8,3536,73
2015-04-13,Gujranwala,32.1877,74.1945,Rubella,3,4,0,4,40.4,78.0,41.0,3361,37
2015-05-01,Turbat,26.0043,63.0488,Malaria,3,3,5,4,40.9,77.7,36.6,2245,70
2015-01-04,Turbat,26.0043,63.0488,Measles,8,4,0,0,18.6,60.4,0.0,2245,70
2015-01-16,Islamabad,33.6844,73.0479,Hepatitis E,9,2,7,5,22.2,61.9,3.1,2816,30
2015-02-03,Lahore,31.5497,74.3436,Malaria,9,13,10,4,27.0,65.3,10.3,2677,60
2015-02-21,Sheikhupura,31.7131,73.9783,Asthma,7,4,4,5,29.6,73.1,23.6,2990,42
2015-05-04,Sukkur,27.705,68.857,Hepatitis A,8,7,2,7,39.2,78.4,38.7,4954,59
2015-01-07,Islamabad,33.6844,73.0479,Measles,0,7,6,0,18.8,59.2,0.0,2816,30
2015-02-12,Faisalabad,31.4181,73.0798,Hepatitis A,4,10,4,3,30.3,70.6,20.6,1101,39
2015-03-23,Sargodha,32.0836,72.6711,Malaria,4,3,6,11,37.6,75.4,38.4,2649,30
2015-02-06,Larkana,27.56,68.21,Hepatitis E,4,5,7,1,26.7,70.4,19.7,2445,71
2015-01-31,Lahore,31.5497,74.3436,Measles,5,5,7,3,26.3,65.7,11.9,2677,60
2015-02-03,Sheikhupura,31.7131,73.9783,Eye Infections,4,3,8,4,27.6,66.2,17.0,2990,42
2015-05-16,Karachi South,24.809,66.991,Mumps,9,9,5,2,39.7,80.1,34.9,3410,90
2015-03-14,Lahore,31.5497,74.3436,Skin Infections,0,3,6,3,34.7,78.1,33.0,2677,60
2015-05-28,Faisalabad,31.4181,73.0798,Skin Infections,5,6,9,7,37.9,71.3,27.0,1101,39
2015-05-16,Sargodha,32.0836,72.6711,Allergies,10,2,6,2,39.3,78.0,37.3,2649,30
2015-02-09,Sargodha,32.0836,72.6711,Hepatitis E,8,1,4,6,28.6,71.3,17.3,2649,30
2015-04-22,Peshawar,34.0151,71.5805,Typhoid,5,2,2,5,39.3,82.2,40.4,1934,48
2015-04-13,Gwadar,25.1214,62.3256,Influenza,3,4,5,7,38.1,76.9,41.2,3206,36
2015-01-28,Lahore,31.5497,74.3436,Dengue,7,2,6,3,25.2,65.8,9.9,2677,60
2015-05-19,Sheikhupura,31.7131,73.9783,Hepatitis E,0,1,7,2,38.4,73.7,32.5,2990,42
2015-04-13,Gwadar,25.1214,62.3256,COVID19,17,20,16,21,38.1,76.9,41.2,3206,36
2015-01-01,Larkana,27.56,68.21,Dengue,1,0,0,0,18.9,58.2,0.0,2445,71
2015-05-07,Sheikhupura,31.7131,73.9783,Cholera,0,5,0,3,39.6,80.0,35.9,2990,42
2015-04-28,Sukkur,27.705,68.857,GI Infections,0,6,9,5,39.3,77.3,38.0,4954,59
2015-02-09,Sialkot,32.4945,74.5229,Tuberculosis,4,9,0,0,29.3,68.5,17.0,2870,73
2015-03-05,Rawalpindi,33.6167,73.0667,Dengue,6,2,4,3,33.7,71.4,34.2,1514,35
2015-05-04,Bahawalpur,29.3956,71.6833,Hepatitis A,6,9,4,4,39.7,78.7,37.3,1135,66
2015-01-31,Sheikhupura,31.7131,73.9783,Cholera,3,0,3,1,26.2,68.6,16.3,2990,42
2015-04-04,Bahawalpur,29.3956,71.6833,GI Infections,1,9,5,3,37.5,80.6,41.3,1135,66
2015-05-13,Turbat,26.0043,63.0488,Typhoid,0,5,8,3,38.6,76.5,32.6,2245,70
2015-03-11,Lahore,31.5497,74.3436,Hepatitis E,2,2,8,6,35.1,71.7,30.1,2677,60
2015-01-07,Bahawalpur,29.3956,71.6833,Allergies,4,1,2,0,20.0,58.7,0.0,1135,66
2015-01-07,Lahore,31.5497,74.3436,Skin Infections,5,1,1,0,18.0,55.6,0.0,2677,60
2015-01-31,Faisalabad,31.4181,73.0798,Cholera,0,1,5,3,24.4,66.2,13.1,1101,39
2015-01-10,Sheikhupura,31.7131,73.9783,Asthma,10,3,5,1,20.1,58.4,0.0,2990,42
2015-03-14,Sialkot,32.4945,74.5229,COVID19,16,16,22,23,34.1,79.1,37.5,2870,73
2015-03-29,Karachi South,24.809,66.991,Dengue,8,5,6,6,38.3,76.5,42.8,3410,90
2015-02-12,Sialkot,32.4945,74.5229,COVID19,5,2,5,3,29.4,69.6,21.0,2870,73
2015-05-04,Jhelum,32.9333,73.7333,Tuberculosis,8,0,6,8,37.9,77.7,33.1,3536,73
2015-02-03,Dera Ghazi Khan,30.0561,70.6347,Rotavirus,3,5,7,3,25.8,67.6,12.7,1782,70
2015-02-27,Quetta,30.1798,66.975,Rotavirus,5,5,2,5,33.3,76.4,31.3,2413,46
2015-04-13,Rawalpindi,33.6167,73.0667,Eye Infections,6,2,3,10,38.9,83.1,41.6,1514,35
2015-03-26,Faisalabad,31.4181,73.0798,COVID19,23,19,21,23,37.4,82.6,37.0,1101,39
2015-03-02,Sukkur,27.705,68.857,Influenza,5,11,8,9,34.2,74.2,29.9,4954,59
2015-01-28,Faisalabad,31.4181,73.0798,Skin Infections,0,2,4,5,24.0,68.7,10.5,1101,39
2015-05-04,Jhelum,32.9333,73.7333,Eye Infections,1,0,10,10,37.9,77.7,33.1,3536,73
2015-05-16,Turbat,26.0043,63.0488,Cholera,4,0,2,6,38.4,77.9,33.3,2245,70
2015-01-22,Sialkot,32.4945,74.5229,Allergies,4,7,3,8,22.8,65.1,4.0,2870,73
2015-05-25,Rawalpindi,33.6167,73.0667,Rotavirus,6,7,4,4,38.4,75.6,30.0,1514,35
2015-05-07,Sialkot,32.4945,74.5229,Malaria,3,6,4,4,38.7,73.5,34.3,2870,73
2015-04-25,Turbat,26.0043,63.0488,Hepatitis E,8,5,0,3,40.9,83.4,37.6,2245,70
2015-04-04,Gwadar,25.1214,62.3256,GI Infections,5,4,3,4,38.6,80.9,37.1,3206,36
2015-04-13,Sialkot,32.4945,74.5229,Pneumonia,6,9,6,9,39.9,84.6,39.9,2870,73
2015-05-19,Multan,30.1575,71.5249,GI Infections,3,1,5,3,41.4,76.5,31.8,1743,34
2015-05-10,Gwadar,25.1214,62.3256,Pneumonia,6,2,12,7,40.0,76.8,34.6,3206,36
2015-02-03,Sargodha,32.0836,72.6711,Hepatitis A,3,0,8,0,27.2,68.0,18.9,2649,30
2015-01-31,Multan,30.1575,71.5249,Pneumonia,1,6,6,1,27.6,61.8,12.2,1743,34
2015-03-05,Sukkur,27.705,68.857,Rubella,0,5,7,7,35.2,77.8,30.1,4954,59
2015-01-25,Sukkur,27.705,68.857,Hepatitis A,0,0,6,7,24.3,63.2,9.1,4954,59
2015-02-24,Sukkur,27.705,68.857,Hepatitis A,8,8,8,11,32.3,75.7,29.4,4954,59
2015-04-04,Gujranwala,32.1877,74.1945,Hepatitis E,6,4,0,1,39.1,79.0,35.7,3361,37
2015-03-29,Islamabad,33.6844,73.0479,Pneumonia,3,11,4,4,35.8,77.4,39.1,2816,30
2015-01-13,Gwadar,25.1214,62.3256,Hepatitis A,8,7,4,1,20.0,60.3,1.7,3206,36
2015-02-09,Multan,30.1575,71.5249,Rubella,5,5,6,3,26.9,70.4,16.9,1743,34
2015-04-04,Multan,30.1575,71.5249,Tuberculosis,9,5,3,3,38.5,81.5,38.1,1743,34
2015-01-01,Larkana,27.56,68.21,Measles,5,0,0,0,18.9,58.2,0.0,2445,71
2015-05-07,Turbat,26.0043,63.0488,Malaria,8,0,3,3,39.9,76.4,35.5,2245,70
2015-01-10,Hyderabad,25.396,68.3578,Rubella,4,8,0,2,20.6,58.3,0.0,2527,79
2015-04-22,Turbat,26.0043,63.0488,Mumps,9,5,4,3,41.2,80.4,37.5,2245,70
2015-02-18,Sialkot,32.4945,74.5229,COVID19,9,1,5,2,29.2,72.8,21.8,2870,73
2015-04-04,Peshawar,34.0151,71.5805,Rubella,2,1,7,4,38.1,80.4,36.8,1934,48
2015-01-16,Turbat,26.0043,63.0488,Typhoid,9,5,0,0,21.2,65.2,0.5,2245,70
2015-02-12,Karachi South,24.809,66.991,Allergies,4,6,4,6,28.0,75.3,20.7,3410,90
2015-02-24,Hyderabad,25.396,68.3578,Hepatitis E,6,6,4,7,30.6,75.2,24.6,2527,79
2015-02-06,Gwadar,25.1214,62.3256,Typhoid,4,2,11,9,25.9,72.1,18.9,3206,36
2015-01-31,Lahore,31.5497,74.3436,Dengue,10,7,2,6,26.3,65.7,11.9,2677,60
2015-03-08,Karachi South,24.809,66.991,Asthma,6,7,1,4,33.7,78.7,29.4,3410,90
2015-03-23,Hyderabad,25.396,68.3578,Skin Infections,3,9,5,2,37.4,82.9,38.6,2527,79
2015-05-01,Quetta,30.1798,66.975,Dengue,0,3,7,6,40.6,75.6,40.0,2413,46
2015-03-08,Peshawar,34.0151,71.5805,Rotavirus,6,6,0,6,34.5,74.3,32.3,1934,48
2015-04-07,Quetta,30.1798,66.975,Mumps,1,2,1,5,37.4,80.7,39.6,2413,46
2015-05-13,Peshawar,34.0151,71.5805,Rubella,6,4,9,6,37.7,78.8,35.4,1934,48
2015-03-23,Sheikhupura,31.7131,73.9783,COVID19,21,20,22,24,38.9,77.5,36.7,2990,42
2015-02-09,Hyderabad,25.396,68.3578,Influenza,10,8,12,10,28.7,73.1,21.5,2527,79
2015-01-31,Karachi South,24.809,66.991,Cholera,0,2,3,3,25.1,68.9,17.7,3410,90
2015-05-25,Bahawalpur,29.3956,71.6833,Tuberculosis,3,8,3,8,39.8,75.7,32.3,1135,66
2015-04-07,Islamabad,33.6844,73.0479,Influenza,3,2,1,2,39.4,82.4,37.6,2816,30
2015-05-28,Hyderabad,25.396,68.3578,Measles,7,7,0,4,37.8,74.8,22.7,2527,79
2015-04-19,Hyderabad,25.396,68.3578,Influenza,3,2,6,1,41.0,85.9,39.3,2527,79
2015-02-21,Hyderabad,25.396,68.3578,Asthma,4,4,4,3,29.7,74.4,25.9,2527,79
2015-01-19,Islamabad,33.6844,73.0479,Typhoid,13,1,7,7,21.7,63.4,3.6,2816,30
2015-02-21,Faisalabad,31.4181,73.0798,Mumps,1,8,2,8,31.8,69.9,27.4,1101,39
2015-03-02,Jhelum,32.9333,73.7333,Cholera,4,4,3,1,34.2,75.8,25.6,3536,73
2015-05-10,Bahawalpur,29.3956,71.6833,Eye Infections,1,10,5,10,41.1,77.0,35.1,1135,66
2015-01-01,Islamabad,33.6844,73.0479,Mumps,0,0,0,0,18.6,57.9,0.0,2816,30
2015-01-13,Multan,30.1575,71.5249,Measles,2,8,0,6,19.5,60.6,0.6,1743,34
2015-01-16,Sargodha,32.0836,72.6711,Tuberculosis,7,0,2,9,21.5,56.3,1.6,2649,30
2015-04-04,Rawalpindi,33.6167,73.0667,Malaria,2,2,5,5,38.4,76.8,41.5,1514,35
2015-03-20,Karachi South,24.809,66.991,GI Infections,6,4,1,4,36.6,79.2,36.7,3410,90
2015-01-25,Sheikhupura,31.7131,73.9783,Eye Infections,4,2,3,7,23.5,64.1,9.4,2990,42
2015-05-04,Islamabad,33.6844,73.0479,Asthma,3,6,2,3,39.3,79.0,36.7,2816,30
2015-04-25,Sargodha,32.0836,72.6711,Hepatitis E,7,3,9,1,38.6,80.2,37.7,2649,30
2015-03-20,Sukkur,27.705,68.857,Dengue,2,5,0,5,36.5,81.5,36.8,4954,59
2015-01-13,Dera Ghazi Khan,30.0561,70.6347,Dengue,3,5,4,6,21.8,58.5,2.9,1782,70
2015-05-07,Bahawalpur,29.3956,71.6833,Skin Infections,3,0,8,4,40.7,81.2,34.9,1135,66
2015-03-23,Peshawar,34.0151,71.5805,Measles,1,3,10,7,36.1,78.0,40.1,1934,48
2015-04-10,Bahawalpur,29.3956,71.6833,Cholera,7,6,4,2,39.2,79.5,41.0,1135,66
2015-01-19,Multan,30.1575,71.5249,Polio,0,7,4,10,21.8,63.2,3.2,1743,34
2015-01-01,Turbat,26.0043,63.0488,Typhoid,3,0,0,0,19.6,51.8,0.0,2245,70
2015-02-21,Islamabad,33.6844,73.0479,Rubella,6,7,11,0,30.7,75.3,28.9,2816,30
2015-03-08,Gwadar,25.1214,62.3256,GI Infections,7,3,6,4,33.3,73.8,30.7,3206,36
2015-04-22,Gwadar,25.1214,62.3256,Eye Infections,4,9,0,3,40.6,75.7,40.7,3206,36
2015-05-16,Faisalabad,31.4181,73.0798,Influenza,6,1,6,1,40.1,79.2,29.1,1101,39
2015-05-19,Rawalpindi,33.6167,73.0667,Measles,5,3,1,6,39.1,81.2,31.8,1514,35
2015-01-13,Karachi South,24.809,66.991,Tuberculosis,4,7,5,3,20.6,64.1,0.7,3410,90
2015-02-06,Bahawalpur,29.3956,71.6833,COVID19,8,10,10,5,27.0,65.4,14.0,1135,66
2015-01-13,Larkana,27.56,68.21,Typhoid,1,5,7,3,19.4,61.2,0.0,2445,71
2015-05-13,Faisalabad,31.4181,73.0798,COVID19,12,2,8,10,39.3,77.4,33.8,1101,39
2015-04-04,Turbat,26.0043,63.0488,Rotavirus,10,0,8,5,38.3,79.4,39.0,2245,70
2015-05-22,Sialkot,32.4945,74.5229,Tuberculosis,1,6,4,3,39.7,80.1,30.9,2870,73
2015-05-04,Dera Ghazi Khan,30.0561,70.6347,Influenza,2,2,7,3,39.1,81.3,37.0,1782,70
2015-05-01,Bahawalpur,29.3956,71.6833,Skin Infections,8,4,4,0,42.5,78.1,38.6,1135,66
2015-02-27,Multan,30.1575,71.5249,Mumps,0,6,6,4,31.7,72.6,30.4,1743,34
2015-02-06,Sialkot,32.4945,74.5229,Hepatitis A,5,6,5,5,25.7,66.1,17.0,2870,73
2015-04-13,Bahawalpur,29.3956,71.6833,Cholera,1,7,6,4,39.2,79.1,38.5,1135,66
2015-02-09,Gujranwala,32.1877,74.1945,Skin Infections,5,5,4,1,26.2,66.0,16.6,3361,37
2015-01-28,Multan,30.1575,71.5249,GI Infections,6,1,0,4,23.9,65.1,9.9,1743,34
2015-02-03,Turbat,26.0043,63.0488,Cholera,1,2,1,1,24.2,66.9,14.8,2245,70
2015-01-19,Sargodha,32.0836,72.6711,Malaria,8,2,4,10,20.8,63.1,5.0,2649,30
2015-04-10,Jhelum,32.9333,73.7333,Rubella,6,4,8,3,39.3,80.7,39.9,3536,73
2015-01-28,Sargodha,32.0836,72.6711,Hepatitis A,8,0,7,8,24.3,63.2,10.1,2649,30
2015-04-19,Karachi South,24.809,66.991,Polio,10,13,5,6,40.9,81.7,36.9,3410,90
2015-05-16,Jhelum,32.9333,73.7333,GI Infections,4,6,3,1,40.0,76.4,34.8,3536,73
2015-05-07,Jhelum,32.9333,73.7333,Malaria,2,2,5,13,40.4,78.2,33.7,3536,73
2015-02-18,Gwadar,25.1214,62.3256,Asthma,7,7,4,6,31.8,67.8,22.8,3206,36
2015-02-15,Islamabad,33.6844,73.0479,Measles,4,1,9,5,28.4,75.3,23.5,2816,30
2015-03-26,Larkana,27.56,68.21,Mumps,0,1,12,4,37.9,76.1,35.9,2445,71
2015-03-02,Islamabad,33.6844,73.0479,Pneumonia,3,8,2,6,33.3,76.8,30.8,2816,30
2015-05-10,Multan,30.1575,71.5249,Malaria,9,6,2,5,39.6,75.7,34.6,1743,34
2015-02-03,Bahawalpur,29.3956,71.6833,Allergies,8,10,10,8,27.1,68.7,15.8,1135,66
2015-02-06,Gujranwala,32.1877,74.1945,Skin Infections,5,4,1,1,26.5,69.4,17.5,3361,37
2015-04-01,Quetta,30.1798,66.975,Skin Infections,3,7,5,5,38.2,77.4,39.2,2413,46
2015-05-10,Multan,30.1575,71.5249,Influenza,3,0,4,2,39.6,75.7,34.6,1743,34
2015-05-01,Quetta,30.1798,66.975,Hepatitis E,2,11,9,1,40.6,75.6,40.0,2413,46
2015-05-07,Multan,30.1575,71.5249,Polio,4,6,5,10,41.1,76.9,34.4,1743,34
2015-04-22,Rawalpindi,33.6167,73.0667,GI Infections,8,7,6,1,40.1,80.1,39.8,1514,35
2015-04-07,Gwadar,25.1214,62.3256,Influenza,5,7,4,3,37.1,76.7,42.4,3206,36
2015-01-28,Hyderabad,25.396,68.3578,Rubella,7,5,7,3,25.0,65.6,10.4,2527,79
2015-01-04,Peshawar,34.0151,71.5805,Pneumonia,3,2,0,0,19.3,58.4,0.0,1934,48
2015-05-04,Dera Ghazi Khan,30.0561,70.6347,Asthma,7,1,9,4,39.1,81.3,37.0,1782,70
2015-01-04,Bahawalpur,29.3956,71.6833,Tuberculosis,1,0,0,0,19.4,59.8,0.0,1135,66
2015-04-25,Hyderabad,25.396,68.3578,Malaria,10,6,3,6,40.2,81.8,37.5,2527,79
2015-02-24,Sialkot,32.4945,74.5229,Pneumonia,6,5,5,2,32.3,71.0,26.8,2870,73
2015-04-16,Hyderabad,25.396,68.3578,Polio,13,2,2,0,38.7,78.5,42.2,2527,79
2015-05-28,Multan,30.1575,71.5249,Eye Infections,3,6,5,7,37.5,75.0,27.1,1743,34
2015-02-09,Larkana,27.56,68.21,COVID19,2,5,6,3,27.4,69.8,16.3,2445,71
2015-04-19,Jhelum,32.9333,73.7333,Rotavirus,1,5,4,8,38.1,80.5,39.2,3536,73
2015-04-19,Jhelum,32.9333,73.7333,Rubella,3,7,7,6,38.1,80.5,39.2,3536,73
2015-02-12,Karachi South,24.809,66.991,Cholera,3,0,8,0,28.0,75.3,20.7,3410,90
2015-02-12,Multan,30.1575,71.5249,Measles,5,6,6,7,28.2,73.4,21.8,1743,34
2015-04-28,Hyderabad,25.396,68.3578,COVID19,15,20,23,21,42.1,79.1,43.6,2527,79
2015-01-10,Sukkur,27.705,68.857,Tuberculosis,5,4,1,5,19.7,59.2,0.0,4954,59
2015-04-13,Jhelum,32.9333,73.7333,Typhoid,0,2,4,3,38.9,79.4,42.2,3536,73
2015-01-04,Faisalabad,31.4181,73.0798,Malaria,8,10,0,0,17.8,59.3,0.0,1101,39
2015-01-22,Dera Ghazi Khan,30.0561,70.6347,Malaria,7,0,7,5,21.7,67.3,6.8,1782,70
2015-05-04,Gujranwala,32.1877,74.1945,Hepatitis E,8,2,3,5,41.2,78.2,37.4,3361,37
2015-02-24,Sheikhupura,31.7131,73.9783,Malaria,3,1,5,4,30.5,71.0,30.6,2990,42
2015-01-13,Larkana,27.56,68.21,COVID19,4,4,8,3,19.4,61.2,0.0,2445,71
2015-01-07,Sukkur,27.705,68.857,Mumps,12,5,4,0,19.5,57.3,0.0,4954,59
2015-02-18,Peshawar,34.0151,71.5805,Mumps,3,3,8,0,31.8,72.1,24.6,1934,48
2015-01-10,Hyderabad,25.396,68.3578,Eye Infections,1,5,0,6,20.6,58.3,0.0,2527,79
2015-05-28,Peshawar,34.0151,71.5805,Rotavirus,4,1,0,4,38.1,76.2,24.6,1934,48
2015-05-01,Quetta,30.1798,66.975,Eye Infections,4,3,1,4,40.6,75.6,40.0,2413,46
2015-05-10,Dera Ghazi Khan,30.0561,70.6347,GI Infections,9,12,0,6,38.1,76.5,39.8,1782,70
2015-04-07,Hyderabad,25.396,68.3578,Hepatitis E,0,7,3,6,38.6,82.6,43.6,2527,79
2015-05-28,Gwadar,25.1214,62.3256,Rotavirus,4,4,1,6,37.2,72.8,27.6,3206,36
2015-05-28,Jhelum,32.9333,73.7333,Polio,5,3,5,7,39.6,77.3,29.9,3536,73
2015-04-16,Quetta,30.1798,66.975,Measles,0,1,5,2,39.8,82.8,40.0,2413,46
2015-05-13,Gujranwala,32.1877,74.1945,Asthma,5,4,3,3,39.5,79.8,32.6,3361,37
2015-02-24,Bahawalpur,29.3956,71.6833,Measles,5,3,4,3,30.9,73.9,30.1,1135,66
2015-04-10,Sukkur,27.705,68.857,Skin Infections,4,8,3,5,37.6,74.4,37.8,4954,59
2015-05-25,Peshawar,34.0151,71.5805,Cholera,4,4,4,2,40.2,78.4,29.3,1934,48
2015-03-11,Multan,30.1575,71.5249,GI Infections,2,4,5,5,34.2,74.6,30.3,1743,34
2015-03-02,Gujranwala,32.1877,74.1945,Cholera,4,0,0,8,31.5,77.6,32.1,3361,37
2015-04-19,Islamabad,33.6844,73.0479,Hepatitis A,6,5,4,5,39.0,79.7,39.2,2816,30
2015-04-19,Islamabad,33.6844,73.0479,Skin Infections,6,4,4,10,39.0,79.7,39.2,2816,30
2015-02-03,Hyderabad,25.396,68.3578,Malaria,4,2,3,0,26.7,67.9,13.0,2527,79
2015-01-13,Gwadar,25.1214,62.3256,COVID19,3,8,2,7,20.0,60.3,1.7,3206,36
2015-04-19,Peshawar,34.0151,71.5805,Rubella,5,9,2,8,39.8,82.7,41.1,1934,48
2015-03-14,Larkana,27.56,68.21,Mumps,1,4,12,6,36.0,80.7,37.6,2445,71
2015-04-25,Gujranwala,32.1877,74.1945,Pneumonia,1,7,3,0,40.3,79.4,39.4,3361,37
2015-05-28,Jhelum,32.9333,73.7333,Dengue,6,2,2,9,39.6,77.3,29.9,3536,73
2015-02-12,Faisalabad,31.4181,73.0798,Mumps,8,6,0,7,30.3,70.6,20.6,1101,39
2015-03-26,Islamabad,33.6844,73.0479,Skin Infections,1,7,8,10,38.2,80.0,34.6,2816,30
2015-03-26,Larkana,27.56,68.21,Typhoid,5,5,0,2,37.9,76.1,35.9,2445,71
2015-05-19,Lahore,31.5497,74.3436,Typhoid,3,3,9,9,37.2,78.3,37.8,2677,60
2015-03-20,Gujranwala,32.1877,74.1945,Polio,6,2,8,7,36.6,77.0,37.4,3361,37
2015-05-07,Islamabad,33.6844,73.0479,COVID19,3,1,7,20,40.4,80.4,37.1,2816,30
2015-01-22,Sheikhupura,31.7131,73.9783,Influenza,10,12,9,9,22.2,60.1,7.9,2990,42
2015-05-10,Hyderabad,25.396,68.3578,Tuberculosis,9,7,9,4,40.9,79.5,37.5,2527,79
2015-04-25,Sargodha,32.0836,72.6711,Skin Infections,5,2,4,5,38.6,80.2,37.7,2649,30
2015-03-02,Sargodha,32.0836,72.6711,Dengue,1,5,5,9,32.0,74.2,32.4,2649,30
2015-01-22,Gujranwala,32.1877,74.1945,Typhoid,4,0,6,5,21.7,63.2,7.0,3361,37
2015-02-15,Peshawar,34.0151,71.5805,Skin Infections,8,6,4,11,30.2,71.0,22.3,1934,48
2015-05-01,Karachi South,24.809,66.991,Pneumonia,3,11,5,5,37.6,79.0,37.7,3410,90
2015-01-10,Gujranwala,32.1877,74.1945,Rubella,10,2,7,5,19.7,59.4,1.0,3361,37
2015-02-15,Quetta,30.1798,66.975,Dengue,6,7,10,5,30.3,71.3,19.8,2413,46
2015-05-07,Sukkur,27.705,68.857,Tuberculosis,10,1,3,8,41.1,78.3,38.3,4954,59
2015-03-29,Jhelum,32.9333,73.7333,Tuberculosis,5,6,4,4,36.2,77.4,36.1,3536,73
2015-03-08,Quetta,30.1798,66.975,Allergies,4,9,5,4,32.4,79.0,34.6,2413,46
2015-05-04,Multan,30.1575,71.5249,Rotavirus,9,9,2,0,39.1,77.7,35.7,1743,34
2015-02-09,Jhelum,32.9333,73.7333,COVID19,0,7,10,5,28.4,71.2,15.9,3536,73
2015-01-04,Bahawalpur,29.3956,71.6833,Malaria,4,7,0,0,19.4,59.8,0.0,1135,66
2015-02-24,Turbat,26.0043,63.0488,Allergies,7,6,5,7,29.5,75.2,28.6,2245,70
2015-05-13,Peshawar,34.0151,71.5805,Cholera,0,5,4,0,37.7,78.8,35.4,1934,48
2015-02-15,Turbat,26.0043,63.0488,COVID19,5,3,0,12,30.0,73.5,21.4,2245,70
2015-03-14,Hyderabad,25.396,68.3578,Polio,0,0,7,4,34.9,77.2,38.9,2527,79
2015-05-13,Sukkur,27.705,68.857,Hepatitis A,6,5,2,8,39.5,77.6,35.9,4954,59
2015-01-31,Turbat,26.0043,63.0488,Eye Infections,1,9,6,7,24.1,64.6,11.0,2245,70
2015-05-16,Multan,30.1575,71.5249,Influenza,6,3,3,0,39.5,78.5,31.4,1743,34
2015-04-10,Sialkot,32.4945,74.5229,COVID19,23,18,19,17,37.5,78.6,43.0,2870,73
2015-01-01,Turbat,26.0043,63.0488,Polio,5,0,0,0,19.6,51.8,0.0,2245,70
2015-01-19,Rawalpindi,33.6167,73.0667,Polio,3,3,8,0,21.5,65.8,4.2,1514,35
2015-05-10,Jhelum,32.9333,73.7333,Cholera,0,3,3,7,37.4,79.3,35.3,3536,73
